source_mizo,reference_english,baseline_prediction
Zanin hian Lalmuana chu hotel pakhatah a riak dawn a.,Lalmuana is staying at a hotel tonight.,Lalmuana is going to be staying at a hotel tonight.
Inkhel pumpui thlirin Italy chu chungnung zawk an ni.,"""Looking at the match as a whole, Italy was superior.""","""Looking at the whole match, Italy is superior."""
Dr. Lalngura Tlau chuan line department te chu kaih chhuah tur thlan kawngah fimkhur turin a chah.,Dr. Lalngura Tlau urged line departments to be careful in selecting beneficiaries.,Dr. Lalngura Tlau urged the line departments to be careful in choosing the exit route.
Vana leh Pari te chu zirlai ti tha tak an ni.,Vana and Pari were good students.,Vana and Pari are good students.
Ruata i kap em ni?,Did you shoot Ruata?,Did you shoot Ruata?
Dan chuan silai pawh a duh lo.,Dan didn't even like guns.,Dan didn't even want a gun.
Kumar hian kum 2022 mai khan BJP a thawhpuina a lo titawp tawh a.,Kumar had already ended his alliance with the BJP just in 2022.,Kumar ended his BJP partnership in just 2022.
Tunhma kum tam tak kalta atang khan PWD hi department hming sawi hlawh berte zingah a tel.,"""For many years in the past, PWD has been among the most talked-about departments.""",PWD has been among the most talked-about departments since many years ago.
Bag-ah Chhana-an pawisa a dah.,Chhana put the money in the bag.,Chhana put the money in the bag.
"""Vawiinah min pui thei dawn lo tih min hrilh a, Chhana leh Rini te chuan.""",Chhana and Rini told me they wouldn't be able to help me today.,Chhana and Rini told me they wouldn't be able to help us today.
Mizo thalaite zingah pawh hman deuha Orkut larna kha Facebook hian a lan ta hle.,"""Among Mizo youth, the popularity Orkut once had has now been overtaken by Facebook.""","""Even among Mizo youths, Facebook has become very popular with Orkut."""
"""Pakistan-a thiltithei tak, sipai chuan 'an ui tak zet thu' an sawi a.""",The powerful Pakistan army said that they 'regret it very much'.,"""Pakistan's powerful army said, """"They are very stingy."""""""
Sangi chuan a inchhir lehna tur thil tih a duh lo.,Sangi didn't want to do something she'd regret.,Sangi didn't want to do anything she'd regret doing.
Liani hnenah a tih a ngai tia hrilh tu kha ka ni lo.,I wasn't the one who told Liani she had to do that.,I wasn't the one who told Liani she needed to do that.
Nagashima chhungkua nen hian inzawmna in nei em?,Are you related to the Nagashima family?,Do you have anything to do with the Nagashima family?
Kei hi chuan Lalliani leh Vanpari kha ka kawm nasa ber.,"""As for me, I hung out with Lalliani and Vanpari the most.""",I had the most contact with Lalliani and Vanpari.
"""Mizoram hmun hrang hrangah kawngpui a chhe hle a, mipui phun thÃ¢wm pawh a ring.""","""Roads are very bad in various parts of Mizoram, and the public complaints are loud.""","""The roads are very bad in various parts of Mizoram, and it is also believed to be inhabited by the public."""
"""Hmanah chuan an rethei á¹­hin tih min hrilh a, Malsawma leh Ziri te chuan.""",Malsawma and Ziri told me that they used to be very poor.,Malsawma and Ziri told me they used to be poor.
Vuina atangin David inah a haw.,David came home from a funeral.,David returned home from the funeral.
Amahin a ti lo tur a nia tih Chhana-an a sawi.,Chhana said he wished he hadn't done that by himself.,Chhana said he shouldn't have done that by himself.
Minaj tan mel lung pawimawh phunna a nih vangin a lawm hle.,Minaj is very happy because it is a significant milestone for her.,He is very grateful that it is an important milestone for Minaj.
Engvangin nge BJP awm lohna India a duh thu a sawi theih?,Why can he say he wants an India without BJP?,Why can it be said that he wants India without the BJP?
Footballer ropui ber ang hiala ngaih Lionel Messi a chhuah hnuah Neymar a chhuak zui ve leh.,"""After Lionel Messi, considered by some as the greatest footballer, left, Neymar also left subsequently.""","""After Lionel Messi, considered the greatest footballer, left Neymar again."""
Chhun dar 12-ah Thanga chuan chhun chaw a ei tlangpui.,Thanga usually eats lunch at noon.,Thanga usually eats lunch at 12:00 PM.
Durham chu English khawpui a ni.,Durham is an English city.,Durham is an English city.
Zochachhuahah Lirthei kal velte chawlhlawkna tur hmun riam a tum bawk.,He also plans to prepare a resting place for passing vehicles at Zochachhuah.,"""In Zochachhuah, he also intends to build a place for parking for vehicles traveling around."""
Sanga a thau deuh.,Sanga is a bit on the heavy side.,Sanga is a little overweight.
"""Ama hmingin simna thu leh sual ngaihhnathiamna thu Jerusalem khuaa tanin, hnam tin hnenah an hril ang.""","""And repentance and forgiveness of sins will be preached in his name to all nations, beginning at Jerusalem.""","""In his name, they will start preaching the word of repentance and forgiveness of sins in Jerusalem, to every nation."""
Kum 27 mi Dubois hian round khatna aá¹­angin Joshua hi a hnek thlu nghal.,27-year-old Dubois knocked down Joshua right from the first round.,The 27-year-old Dubois immediately knocked down Joshua from the first round.
PUC-in kawng hrang hranga hlawhtlinna an chan chu a lawmpui thu leh chhuanawm a tih a sawi.,PUC expressed happiness and pride in their success in various fields.,He expressed his congratulations and pride for the success achieved by PUC in various ways.
"""Biak Inah Tuivawl Presbytery Moderator Rev. Lianmungan a vui a, Kohhran Zaipawl leh Bial Zaipawl nen ui tak chungin kan thlah liam ta a ni.""","""Tuivawl Presbytery Moderator Rev. Lianmunga conducted the funeral in the Church, and together with the Church Choir and Bial Choir, we bid him farewell with heavy hearts.""","""At the Church, Tuivawl Presbytery Moderator Rev. Lianmunga conducted the funeral, and we bade him farewell with heavy hearts along with the Church Choir and the Bial Choir."""
Sanga hnena sawi duh i nei em?,Is there anything you'd like to say to Sanga?,Do you have anything you want to say to Sanga?
London khawpui a F1 Commission inhmukhawm chuan heti hian ro a rel.,The F1 Commission meeting in London decided as follows.,The meeting of the F1 Commission in London decided this.
"""Europe-a kum khat a awm hnuin, naktukah Australia-ah a kir dawn.""",Sheâ€™s returning to Australia tomorrow after a year in Europe.,"""After one year's stay in Europe, he will return to Australia tomorrow."""
Dama-an Mary-i a ti hnuhnung ber a ni a ring.,Dama thought Mary was the last one to do that.,Dama thought Mary would be the last one to do that.
Thomas leh Jenifer te chu inhmangaihna ah an luangliam.,Thomas and Jenifer were in love with being in love.,Thomas and Jenifer fell in love.
Joao Pedro chuan minute 87-naah inkhela goal awmchhun a khung.,Joao Pedro scored the only goal of the match in the 87th minute.,Joao Pedro scored the only goal of the match in the 87th minute.
Rina leh kei chu Thari pi leh pu kan ni.,Rina and I are Thari's grandparents.,Rina and I are Thari's grandparents.
Sekhum mipuite pawhin PHC hlut thiamin chhawr á¹­angkai turin a duhsakna a hlan a ni.,He wished for the people of Sekhum to value the PHC and utilize it effectively.,He also wished the people of Sekhum to appreciate PHC and make good use of it.
"""Chhani chu ka chungah a thinrim, tiraw?""","""Chhani is angry at me, isn't she?""","""Chhani is mad at me, isn't she?"""
Inkhel hmasa nena belhkhawmin Juve hi 4-2 in an chak.,"""Combining with the first match, Juve won 4-2.""","""Combined with the first match, Juve won 4-2."""
Nunpuii chuan a pasal chu a hrilh a.,Nunpuii told her husband about it.,Nunpuii told her husband.
Arsa hem hmin Thanga-an a duh.,Thanga likes fried chicken.,Thanga wanted to sharpen the chicken.
Dinpuia hian Cindy tan hetiang hian a ti a ni.,Dinpuia is doing this for Cindy.,Dinpuia did this for Cindy.
Mihring siam hmasak ber Evi leh Adama te hunlai zia kan thlah thei meuh lo chu a nih hi maw!,"""It seems we really cannot let go of the nature of the first created humans, Eve and Adam!""","""The first human being, Eve and Adam, could not have simply omitted from the way of time, was not it!"""
Chhinga Veng hian coach Sanga hnuaiah tlawm hmel hmu loin match 20 an khel tawh.,Chhinga Veng has played 20 matches without seeing defeat under coach Sanga.,Chhinga Veng has played 20 matches without a loss under coach Sanga.
Zoram thalaite harh a hun e.,It is time for the youth of Zoram to wake up.,It is time for the youth of Zoram to wake up.
Kunga-an ti tura min tih ang chiah kha ka ti.,I did exactly what Kunga told me to do.,I did the same thing Kunga told me to do.
Luangmual hian minute 43-naah Lalnunsanga hmangin an thun.,Luangmual scored in the 43rd minute through Lalnunsanga.,Luangmual scored through Lalnunsanga in the 43rd minute.
Dinga-an eng vangin nge Mary-in a tih duh loh a hrethiam tih a sawi.,Dinga said he understood why Mary didn't want to do that.,Dinga said that he understood why Mary didn't want to do that.
Puia tan tukthuan ka siam.,I prepared breakfast for Puia.,I made breakfast for Puia.
Liani chuan park-a kal pui turin Liana a ngen.,Liani asked Liana to go to the park with her.,Liani asked Liana to go to the park with her.
Chung zingah chuan ka chipui Zohnahthlak tam tak an tel.,"""Among them, many of my fellow Zohnahthlak people participated.""","""Among them, many of my fellow Zohnahthlak clan members are included."""
"""Inhnehna hniam berah, Tuivawl bial MNF candidate Lalchhandama Ralte chu vote 3 in a chak.""","""With the narrowest margin, MNF candidate Lalchhandama Ralte won by 3 votes in Tuivawl constituency.""","""In the lowest margin, Tuivawl constituency MNF candidate Lalchhandama Ralte won 3 votes."""
Fela vang hian buaina ka tawk hnem tawh.,I've had my share of problems with Fela.,I've been through a lot of problems with Fela.
"""Sports an thiam lo tih ka hria, Nunpuia leh Rami te chu.""",I knew Nunpuia and Rami weren't good at sports.,I knew Nunpuia and Rami weren't good at sports.
Liani chuan Liana tlawh a tum a thulh.,Liani canceled her plans to visit Liana.,Liani canceled her appointment with Liana.
A tawp ah Alvin a harh.,Alvin finally woke up.,Alvin finally woke up.
Zami-in ti tura a tih chu ti lo tur khawpin Mawia a fing.,Mawia was smart enough not to do what Zami asked him to do.,Mawia was smart enough not to do what Zami asked him to do.
Kuminah tunhnai thla 5 chhÃ»ngin Dengue vei hmuhchhuah a pung chho chak hle.,"""Within the recent 5 months this year, the discovery of Dengue cases has increased very rapidly.""","""This year, the number of Dengue cases detected has increased rapidly in the last 5 months."""
"""October ni 17, 2022 aá¹­angin Khawzawl khawpui chhungah bawlhhlawh paih hmaa thliar hran hna kalpui tan a ni.""","""From October 17, 2022, waste segregation before disposal has been implemented in Khawzawl town.""","""Starting from October 17, 2022, segregation work has started in Khawzawl city before garbage is disposed of."""
A hna avangin Chhana zin a ngai fo.,Chhana has to travel a lot for his job.,Chhana often needs to travel because of his work.
Zuala chuan a thiante hnenah Boston-ah a kal dawn tih a hrilh a niang.,Zuala will probably tell his friends that he's going to Boston.,Zuala should probably tell his friends he's going to Boston.
A hnuai ah i thawk tih Chhana-an min hrilh.,Chhana told me you work for him.,Chhana told me you worked under it.
YMA hmalakna zarah eirawngbawlna gas-in ziaawm lam a pan mek.,"""Thanks to YMA's initiative, cooking gas situation is improving.""","""Thanks to YMA's initiative, cooking gas is improving."""
Tu nge a neih Kunga-an min hrilh ngai lo.,Kunga never told me who he was married to.,Kunga never told me who he had.
"""Congress Thlifim copy 3,000 chu chanchinbu semtute hlawh neiin an semtir.""","""They paid newspaper distributors to distribute 3,000 copies of Congress Thlifim.""","""They distributed 3,000 copies of Congress Thlifim with the salaries of journalists."""
Ruata hian tih tum eng emaw a nei ziah.,Ruata is always up to something.,Ruata always has some plans to do that.
"""John-an sandwich a siamsak chu an ei duh lo, Tluanga leh Puii te chuan.""",Tluanga and Puii didn't eat the sandwiches that John made for them.,Tluanga and Puii don't want to eat the sandwich that John made for them.
Hei vang hian kan State pawh hian a tuar nasa hle.,"""Because of this, our State has also suffered greatly.""","""Because of this, our State also suffered greatly."""
Biaka chuan a thil mamawh lei nan dollar 300 tal a mamawh thu a sawi.,Biaka said that he needed at least $300 to buy what he needed.,Biaka said that he needed at least $300 to buy what he needed.
Biaka chuan kawfi a in ngai vak lo.,Biaka doesn't often drink coffee.,Biaka doesn't drink too much coffee.
"""Khuallian Pu VL Hmuaka, LADC CEM chuan Kumpuan hi a hawng a.""","""The Chief Guest, Pu VL Hmuaka, LADC CEM, inaugurated the campaign.""","""Chief Guest Pu VL Hmuaka, LADC CEM inaugurated this year."""
Biaka chuan khatiang tih khan awmzia a neih a ring lo.,Biaka said he didn't think doing that would make any difference.,Biaka didn't think it would make any sense to do that.
Zuala inpuanna chuan mi zawng zawng a tithinur hle.,Zuala's confession shocked everybody.,Zuala's confession angered everyone.
Chelsea keeper Kepa Arrizabalaga chu bul tan thei dinhunah a ding.,Chelsea keeper Kepa Arrizabalaga is in a position to start.,Chelsea keeper Kepa Arrizabalaga is in a position to start.
Liana chuan Zomuani chu a hruai let leh a.,Liana pulled Zomuani back again.,Liana took Zomuani back.
Chhani chuan eng vanga Thara chu a party-a duh lo nge a nih le.,I wonder why Chhani didn't want Thara at her party.,I wonder why Chhani didn't want Thara at her party.
Hminga chuan Mawii'n chu thil chu a tih a ngai lo mai thei tih a rin thu a sawi.,Hminga said he thought that Mawii might not have to do that.,Hminga said he thought that Mawii might not need to do that.
Kapa-an a hrethiam a ang.,Kapa seems to have figured it out.,Kapa seems to understand.
Tiin Congress chungchang a sawi.,Thus he spoke regarding the Congress.,He said about Congress.
Pu Lalchhandama Ralte chuan he hunah hian thusawiin sorkarin kawng hrang hrangin hmasawnna hna a thawk mek.,"""Pu Lalchhandama Ralte spoke on this occasion, saying that the government is carrying out development works in various ways.""",Pu Lalchhandama Ralte spoke at this event saying that the government is carrying out development work in various ways.
Tlabung lamah pawh hmunphiah thartute an mangang hle; anni hian a rovin an hralh.,Broom grass producers in Tlabung area are also very worried; they sell it dry.,"""In Tlabung too, broom grass cultivators are very distressed; they sell it secretly."""
Dinga-an chu chu tih dan zirtir turin min duh tih a sawi.,Dinga said that he wanted me to teach him how to do that.,Dinga said that he wanted me to teach him how to do that.
Engtin nge Tluanga chuan dawt min hrilh theih?,How could Tluanga lie to us?,How could Tluanga lie to us?
Rami thinrim lai i hmu tawh em?,Have you ever seen Rami when she's angry?,Have you ever seen Rami so angry?
Kum 2019-20 chhung khan Mizoram chu JJM hmalaknaah state zinga thawk tha pawl a ni.,"""During 2019-20, Mizoram was among the best-performing states in JJM implementation.""","""During 2019-20, Mizoram was a group of states that worked well in JJM's initiatives."""
Biaka chuan chu thil chu tih nawn leh a chak tawh loh thu a sawi.,Biaka said that he didn't feel like doing that again.,Biaka said that he didn't want to do that again.
Kan pianpun a ngai tih minister Lalnghinglova Hmar chuan a sawi.,Minister Lalnghinglova Hmar said that we need to be born again.,Minister Lalnghinglova Hmar said that we need to be born again.
Vegas atangin Vietnam thleng thlengin a thawk chhuak.,It operates from Vegas to as far as Vietnam.,It went from Vegas to Vietnam.
Sangi chuan a tih vat dawn loh thu a sawi.,Sangi said she wouldn't do that anytime soon.,Sangi said she wouldn't do that anytime soon.
Haragopal Reddy hnen aá¹­angin thuchah ngaihthlak a ni a.,A message was heard from Haragopal Reddy.,A message was heard from Haragopal Reddy.
"""Enrique chuan, Academy aá¹­anga rawn inzir chhak player pali ten bul an á¹­an.""","""Enrique said, Four players who graduated from the Academy started.""","""Enrique said, """"Four players who graduated from the Academy started."""""""
Dhawan aiah hian T20-ah Sanju Samson telh a ni.,Sanju Samson was included in the T20 in place of Dhawan.,Sanju Samson was included in T20 instead of Dhawan.
"""Lawmman dawngtute chu - pakhatna Lalchuangliana, Electric Veng a ni.""","""The prize winners are - first place is Lalchuangliana, Electric Veng.""","""The prize winners are - first place Lalchuangliana, Electric Veng."""
Fadil-a chu kum 10 chuang a ngaihzawn hmeichhe dang nen an cheng dun.,Fadil was living with another woman he had been dating for over ten years.,Fadil lived with another woman he dated for over 10 years.
Hminga chuan Mawii-in amah chauha tih a hlimpui a ring lo a ti.,Hminga said he doesn't think Mawii really enjoys doing that by herself.,Hminga said Mawii didn't think she'd be happy to do that by herself.
Hruaia chuan a graduate hnuah nupui neih a duh.,Hruaia wanted to get married after he graduated.,Hruaia wanted to get married after his graduation.
Lawma ngaihdan i han zawng chhuak ang u.,Let's find out what Lawma thinks.,Let's find out what Lawma thinks.
Rami nen inthleng se Thara chuan a ti.,Thara wishes he could swap places with Rami.,Thara wished he had met Rami.
"""Lalrinpuii Venghlui Kum kum tir lam aá¹­angin Covid-19 in min tibuai a, khawvel ram dangah mi tam tak an thi a.""","""Lalrinpuii, Venghlui. Since the beginning of the year [year], Covid-19 has troubled us, and many people have died in other countries of the world.""","""Lalrinpuii Venghlui: Since the beginning of the year, I have been troubled by Covid-19, and many people have died in other countries of the world."""
Toma chu hruaitu tha a ni lo.,Tom isn't a good leader.,Tom isn't a good leader.
"""An duat dawn tih MPCC hruaitu hian sawiin, chu chu SHC huamchhung amite pawhin hria se an duh tih a sawi.""","""The MPCC leader said that they would cherish them, and he wanted the people within the SHC area to know that.""","""The MPCC leader said that they would like the people within SHC to know that too."""
Mizoram mamawh hrang hrang an sawidun.,They discussed various needs of Mizoram.,They discussed various needs of Mizoram.
Chhani chuan a tih chuan man a ni maithei.,Chhani may get arrested if she does that.,Chhani might get arrested if she does that.
"""Hmuaka chuan, Isuan min zirtir angin amah zuitu te chu, tlangchhipa khaw awm angin a tehkhin.""","""Hmuaka compared his followers to a city on a hill, as Jesus taught us.""","""Hmuaka said, """"Just as Jesus taught us, those who follow him are like a village in the mountains."""""""
"""Lalfamkima, Model Veng Branch N i hi hring fate hmuh theih thil siam ropui tak a ni a, thahrui nasa tak a pe chhuak a.""","""Lalfamkima, Model Veng Branch. The sun is a magnificent creation visible to humans, and it emits tremendous energy.""","""Lalfamkima, Model Veng Branch: Your N is a great creation that can be seen by green children, and it produces great enthusiasm."""
"""Mahse, nimin tlai a Melbourne Park a inkhelah erawh thil danglam a thleng.""","""But, something different happened in yesterday evening's match at Melbourne Park.""","""However, something different happened in yesterday evening's Melbourne Park match."""
Stephen chuan buaina khirh tak tak a hmachhawn.,Stephen is dealing with very difficult problems.,Stephen was facing a very difficult problem.
"""TleirÃ¢wl lai huna inthlahdah taka nung leh Pathian kalsantute chanvo chuan thihna lam a hawi a, a kawng chu mitthi lam a ni tih Bible-in min hrilh bawk.""","""The Bible tells us that the fate of those who live carelessly during their teenage years and forsake God leans towards death, and their path leads to the grave.""","""The Bible also tells us that the part of those who were living and leaving God at the time of their youth focused on death, and his path was death."""
Chutiang zelin ZPM; INC & BJP-te pawh Sawrkar inring tak vek kha an ni.,"""Similarly, ZPM; INC & BJP were all confident of forming the Government.""","""Similarly, ZPM; INC & BJP are all very confident in the Government."""
Chuti ang chuan kum 336 hma lamah khÃ¢n krismas hi Rome khawpuiah chuan Kristianten an lo hmang tawh a ni.,"""In that manner, Christians were already celebrating Christmas in the city of Rome as far back as the year 336.""","""Similarly, before 336, Christians had already celebrated Christmas in Rome."""
"""US, Turkey, Qatar leh Germany chuan beihna thleng an dem tak zet thu an sawi hlawm.""","""US, Turkey, Qatar, and Germany all stated that they strongly condemn the attack.""","""US, Turkey, Qatar and Germany all expressed their strong condemnation of the attack."""
Liani chuan Mawia-an a tih a ngai maithei tih a hriat thu a sawi.,Liani said she knew Mawia might need to do that.,Liani said she knew Mawia might need to do that.
Tata company lam pawh Gujarat lamah an insawn fel ta bawk.,Tata company has also successfully moved to Gujarat.,Tata company side has also moved to Gujarat.
Laurie chu sikul a la kal a.,Laurie's still at school.,Laurie is still in school.
DD Chakma rilru a na; party thenkhatin an be zui nghal bawk.,DD Chakma was hurt; some parties contacted him immediately.,DD Chakma's mind was hurt; some parties also immediately contacted him.
"""Bethlehem Vengthlang midfielder hlui chuan, Ka malpuiah hian na chu a la awm deuh.""","""The former Bethlehem Vengthlang midfielder said, The pain in my thigh is still there a bit.""","""The former Bethlehem Vengthlang midfielder said, """"There is still some pain in my thigh."""""""
Rina leh Siami chuan chutiang an ti leh dÃ¢wn tih an hril ka ni.,Rina and Siami told me they'd do that again.,Rina and Siami told me they'd do that again.
Chhani chuan kar khat emaw hnih hnuah Boston-ah a kal maithei tih a sawi.,Chhani said she might go to Boston in a week or two.,Chhani said she might go to Boston in a week or two.
Zanin dar 7:00 hian Bayern elpui Borussia Dortmund-in Freiburg an tlawh ang.,"""Tonight at 7:00, Bayern's rivals Borussia Dortmund will visit Freiburg.""",Bayern rival Borussia Dortmund will visit Freiburg tonight at 7:00.
Keshari Nath Tripathi hian Inrinni chhun khan Lengpui Airport a lo thleng.,Keshari Nath Tripathi arrived at Lengpui Airport on Thursday afternoon.,Keshari Nath Tripathi arrived at Lengpui Airport on Saturday afternoon.
Liani hi ka hriat zingah chuan hmeltha ber a ni.,Liani is the best-looking woman I know.,Liani is the most beautiful of all I know.
"""AdÃ©laÃ¯de-i hnute lian leh mawng lian, chhungkaw ti hmingtha tu a neih loh avangin a ngaidam thei ngai lo.""","""He had never forgiven AdÃ©laÃ¯de for not having those heavy breasts, those wide buttocks that are a credit to families.""","""Because AdÃ©laÃ ̄de had no one to honor his large, large-scale breast, and well-behaved family, he could never forgive it."""
A enkawltu Pu Thanpuia te nupa chuan heng naupangte hi an lo seilena an lo puitlin hunah Chanchintha hriltu an la nih ngei beiseiin tawngtaiin an hlan fo thin a ni.,"""His caretakers, Mr. Thanpuia and his wife, often pray for these children, hoping that they will become preachers of the Gospel when they grow up and mature.""","""The caretaker, Pu Thanpuia and his wife, often dedicate these children to prayer hoping that they will become preachers of the Good News when they grow up."""
Vawiin chu Chhana pui turin hun ka nei lo.,I don't have time to help Chhana today.,I don't have time to help Chhana today.
"""Sudan khawpui, Khartoum-ah thlawhna atanga kahna avangin naupang panga telin mi 17 an thi tih thuneituten an sawi.""","""Authorities said that 17 people, including five children, died due to airstrikes in Sudan's capital, Khartoum.""",Authorities said that 17 people died including five children in Sudan city due to a plane crash in Khartoum.
Lawmi chuan a makeup chu a siamsak a.,Lawmi got her makeup done.,Lawmi made her makeup.
